i,j,k,x,y,z,dx,dy,dz,primary_material,primary_fraction,secondary_material,secondary_fraction,surface_material,total_fraction,cell_volume,remaining_volume
0,0,0,0.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,0,0,5.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,0,0,10.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,0,0,15.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,0,0,20.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,0,0,25.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,0,0,30.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,0,0,35.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,0,0,40.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,0,0,45.000000,0.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,1,0,0.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,1,0,5.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,1,0,10.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,1,0,15.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,1,0,20.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,1,0,25.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,1,0,30.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,1,0,35.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,1,0,40.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,1,0,45.000000,5.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,2,0,0.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,2,0,5.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,2,0,10.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,2,0,15.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,2,0,20.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,2,0,25.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,2,0,30.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,2,0,35.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,2,0,40.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,2,0,45.000000,10.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,3,0,0.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,3,0,5.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,3,0,10.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,3,0,15.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,3,0,20.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,3,0,25.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,3,0,30.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,3,0,35.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,3,0,40.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,3,0,45.000000,15.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,4,0,0.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,4,0,5.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,4,0,10.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,4,0,15.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,4,0,20.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,4,0,25.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,4,0,30.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,4,0,35.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,4,0,40.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,4,0,45.000000,20.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,5,0,0.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,5,0,5.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,5,0,10.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,5,0,15.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,5,0,20.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,5,0,25.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,5,0,30.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,5,0,35.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,5,0,40.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,5,0,45.000000,25.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,6,0,0.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,6,0,5.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,6,0,10.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,6,0,15.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,6,0,20.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,6,0,25.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,6,0,30.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,6,0,35.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,6,0,40.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,6,0,45.000000,30.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,7,0,0.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,7,0,5.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,7,0,10.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,7,0,15.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,7,0,20.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,7,0,25.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,7,0,30.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,7,0,35.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,7,0,40.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,7,0,45.000000,35.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,8,0,0.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,8,0,5.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,8,0,10.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,8,0,15.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,8,0,20.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,8,0,25.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,8,0,30.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,8,0,35.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,8,0,40.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,8,0,45.000000,40.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,9,0,0.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,9,0,5.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,9,0,10.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,9,0,15.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,9,0,20.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
5,9,0,25.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
6,9,0,30.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
7,9,0,35.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
8,9,0,40.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
9,9,0,45.000000,45.000000,0.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
0,0,1,0.000000,0.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
1,0,1,5.000000,0.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
2,0,1,10.000000,0.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
3,0,1,15.000000,0.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
4,0,1,20.000000,0.000000,5.000000,5.000000,5.000000,5.000000,Silicon,1.000000,Empty,0.000000,Silicon,1.000000,125.000000,125.000000
